﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:2UPCD1nRlZHUt2YSc6Qxes","Sunset Dub","Break","Another Way","1","9","306336","spotify:user:outrightmental","2020-03-25T19:23:35Z"
"spotify:track:6VwCLysPMXP0be04UI2WvK","Last Goodbye","Break, Celestine","Another Way","1","1","319299","spotify:user:outrightmental","2020-03-25T19:30:52Z"
"spotify:track:5r9dZ57AbFKsm5dBvvXI6z","Pyramid","Photek","KU:PALM","1","4","268626","spotify:user:outrightmental","2020-03-30T17:55:58Z"
"spotify:track:6VVmcFbVikUe5Qke4wDhMz","Talk To Me","Ivy Lab, Two Fingers","Talk To Me","1","1","241230","spotify:user:outrightmental","2020-03-30T18:00:06Z"
"spotify:track:0lneXjoX0mEoeV6w61Dz8m","Cursive","Monty, Alix Perez","Blinded EP","1","3","223666","spotify:user:outrightmental","2020-03-31T23:29:13Z"
"spotify:track:660dW9C2ltmXFPdSDpuduy","Snail Trail","Skeptical","Fibonacci Sequence","1","2","300037","spotify:user:outrightmental","2020-04-01T23:56:37Z"
"spotify:track:4Tx7PvKePyuo0hG7lCnVkX","Charge","Skeptical","Fibonacci Sequence","1","1","292852","spotify:user:outrightmental","2020-04-01T23:57:02Z"
"spotify:track:6lypN6c1prGT62xF8KVTBL","Mechanism","Skeptical","Fibonacci Sequence","1","3","290658","spotify:user:outrightmental","2020-04-01T23:57:02Z"
"spotify:track:7KnCR8HtLYdZ5GFwSJps9a","Musket","Skeptical","Musket","1","1","271000","spotify:user:outrightmental","2020-04-01T23:57:21Z"
"spotify:track:6HYyQDhfi5b2hZ9npKdsOO","Mythos","InsideInfo, Mefjus","Mythos / Blunt","1","1","312337","spotify:user:outrightmental","2020-04-18T02:32:50Z"
"spotify:track:0lxPUgZ4nmTM7wBouHg4UF","Analog Desert","Enei","Rituals","1","16","282360","spotify:user:outrightmental","2020-04-18T02:38:07Z"
"spotify:track:5mbFeFSL4DET9okWCPNLdL","Jaipur - Villem Remix","Foreign Concept, Villem","Mise en place, Pt. 1","1","3","305980","spotify:user:outrightmental","2020-04-18T02:47:10Z"
"spotify:track:7gPwcpcjBs7J9yZegyobXQ","Genie Method - Original","Sabre, Safire","INVISIBLE Definition I","1","22","323808","spotify:user:outrightmental","2020-04-18T02:56:42Z"
